ProductId,Sku,ProductName,CategoryId,SupplierId,UnitCost,ListPrice,Weight_g,Status
1,SKU-01-0001,Prime Headphones,1,3,41.4000,92.1000,1200,ACTIVE
2,SKU-01-0002,Plus Camera,1,5,52.5600,121.4500,120,ACTIVE
3,SKU-01-0003,Deluxe Charger,1,2,79.3400,105.5200,2500,ACTIVE
4,SKU-02-0004,Ultra Laptop,2,6,346.9900,585.4200,800,ACTIVE
5,SKU-02-0005,Classic Keyboard,2,6,144.0400,291.0600,2500,ACTIVE
6,SKU-02-0006,Plus Keyboard,2,3,292.4600,420.5300,800,ACTIVE
7,SKU-03-0007,Plus Screen Protector,3,7,90.1900,146.3700,5000,DISCONTINUED
8,SKU-03-0008,Classic Phone,3,6,162.2600,215.1800,1200,ACTIVE
9,SKU-03-0009,Mini Screen Protector,3,2,160.0700,368.4400,800,ACTIVE
10,SKU-04-0010,Plus Kettle,4,5,216.9700,457.6000,800,ACTIVE
11,SKU-04-0011,Lite Kettle,4,7,205.2800,278.0600,120,ACTIVE
12,SKU-04-0012,Prime Kettle,4,4,239.7700,405.8100,1200,ACTIVE
13,SKU-05-0013,Max Desk,5,7,273.6400,511.0300,500,ACTIVE
14,SKU-05-0014,Eco Desk,5,6,175.6000,311.1200,2500,ACTIVE
15,SKU-05-0015,Plus Chair,5,7,365.3100,822.3500,500,ACTIVE
16,SKU-06-0016,Ultra BBQ Grill,6,7,63.6800,135.4400,1200,ACTIVE
17,SKU-06-0017,Deluxe Hose,6,7,131.6900,167.5600,500,ACTIVE
18,SKU-06-0018,Pro Hose,6,1,98.6300,187.6400,120,ACTIVE
19,SKU-07-0019,Plus Board Game,7,5,307.0400,429.1300,800,ACTIVE
20,SKU-07-0020,Deluxe Action Figure,7,7,170.9900,255.3900,1200,ACTIVE
21,SKU-07-0021,Eco Board Game,7,4,161.4000,326.4200,500,ACTIVE
22,SKU-08-0022,Max Dumbbell,8,5,101.4200,134.2400,120,ACTIVE
23,SKU-08-0023,Ultra Water Bottle,8,2,5.8500,12.0700,120,DISCONTINUED
24,SKU-08-0024,Classic Yoga Mat,8,4,31.1300,47.4300,2500,ACTIVE
25,SKU-09-0025,Deluxe Shampoo,9,7,231.7600,354.4600,800,ACTIVE
26,SKU-09-0026,Max Shampoo,9,4,264.6200,438.5900,800,ACTIVE
27,SKU-09-0027,Max Shampoo,9,7,27.0600,56.4900,5000,ACTIVE
28,SKU-10-0028,Ultra Coffee Beans,10,3,215.9100,304.6900,250,ACTIVE
29,SKU-10-0029,Mini Coffee Beans,10,1,323.7800,723.4400,120,ACTIVE
30,SKU-10-0030,Pro Pasta,10,2,387.6900,897.6300,5000,ACTIVE
31,SKU-11-0031,Mini Cat Tree,11,2,87.8600,150.3500,120,ACTIVE
32,SKU-11-0032,Eco Cat Tree,11,4,370.8300,798.3600,500,ACTIVE
33,SKU-11-0033,Plus Pet Bowl,11,3,265.7600,480.9400,250,ACTIVE
34,SKU-12-0034,Deluxe Novel,12,1,295.0900,389.5500,500,DISCONTINUED
35,SKU-12-0035,Plus Atlas,12,5,368.0000,684.7700,120,ACTIVE
36,SKU-12-0036,Max Cookbook,12,4,239.2300,484.8000,250,ACTIVE
37,SKU-13-0037,Ultra Headset,13,4,232.8300,301.6800,120,ACTIVE
38,SKU-13-0038,Plus Headset,13,6,128.6000,199.3100,2500,ACTIVE
39,SKU-13-0039,Prime Blu-ray,13,3,54.9600,109.5000,800,ACTIVE
40,SKU-14-0040,Pro Notebook,14,1,184.9400,443.5300,120,ACTIVE
41,SKU-14-0041,Eco Stapler,14,2,55.5900,91.8000,120,ACTIVE
42,SKU-14-0042,Mini Notebook,14,7,334.0000,687.7300,1200,ACTIVE
43,SKU-15-0043,Plus Car Mat,15,3,121.8500,245.2700,250,ACTIVE
44,SKU-15-0044,Plus Car Mat,15,6,64.7100,101.8500,250,ACTIVE
45,SKU-15-0045,Eco Tyre Gauge,15,1,203.6500,313.3700,5000,ACTIVE
46,SKU-16-0046,Eco Hammer,16,6,20.5000,33.4900,250,ACTIVE
47,SKU-16-0047,Mini Drill,16,1,222.0200,386.7200,120,ACTIVE
48,SKU-16-0048,Lite Screwdriver Set,16,5,219.6000,485.2700,1200,ACTIVE
49,SKU-17-0049,Pro Mens T-Shirt,17,7,125.3800,286.3500,5000,DISCONTINUED
50,SKU-17-0050,Ultra Mens Jeans,17,7,273.7800,552.2100,500,ACTIVE
51,SKU-17-0051,Deluxe Mens Jeans,17,7,300.5400,695.6400,250,ACTIVE
52,SKU-18-0052,Prime Womens Dress,18,7,12.8400,26.9300,500,ACTIVE
53,SKU-18-0053,Eco Womens Dress,18,7,66.2000,136.1400,800,DISCONTINUED
54,SKU-18-0054,Ultra Womens Blouse,18,3,82.2300,189.6400,500,ACTIVE
55,SKU-19-0055,Ultra Kids Hoodie,19,3,12.3900,18.2400,500,ACTIVE
56,SKU-19-0056,Classic Kids Shorts,19,5,257.6700,440.5200,5000,ACTIVE
57,SKU-19-0057,Max Kids Hoodie,19,3,351.1800,544.4700,1200,DISCONTINUED
58,SKU-20-0058,Prime Sandals,20,5,140.2400,302.1300,800,ACTIVE
59,SKU-20-0059,Prime Trainers,20,6,360.1000,528.8400,120,ACTIVE
60,SKU-20-0060,Plus Sandals,20,6,275.6800,642.6900,2500,ACTIVE
